chinese,pinyin,english,thai
四类市电,sì lèi shì diàn,Class 4 Utility Supply,ไฟจากการไฟฟ้าประเภท 4 (ไฟดับตามฤดูกาลหรือไม่มีไฟ)
A级/B级/C级机房供电配置,A jí / B jí / C jí jī fáng gōng diàn pèi zhì,Class A/B/C Data Center Power Supply Configuration (per national standard),ระดับการจ่ายไฟของ data center เกรด A/B/C ตามมาตรฐานจีน
二类供电网络,èr lèi gōng diàn wǎng luò,Class II Power Supply Network,เครือข่ายไฟฟ้าประเภทที่ 2
二类供电网络单次故障持续时间要求,èr lèi gōng diàn wǎng luò dān cì gù zhàng chí xù shí jiān yāo qiú,Class II Power Supply Network Single-Fault Duration Requirement (≤6h),ข้อกำหนดระยะเวลาขัดข้องต่อครั้งของเครือข่ายไฟฟ้าประเภทที่ 2 (≤6 ชม.)
功能接地兼保护接地,gōng néng jiē dì jiān bǎo hù jiē dì,Combined Functional and Protective Grounding,กราวด์แบบผสม functional + protective (EMC)
常见接地系统命名,cháng jiàn jiē dì xì tǒng mìng míng,"Common Grounding System Naming (TN-C, TN-S, IT)","ชื่อระบบกราวด์ที่พบทั่วไป (TN-C, TN-S, IT)"
接地系统组成,jiē dì xì tǒng zǔ chéng,Composition of the Grounding System,องค์ประกอบของระบบกราวด์ (grounding system)
导电剂,dǎo diàn jì,Conductive Agent,สารนำไฟฟ้า (conductive agent)
控制箱,kòng zhì xiāng,Control Box,กล่องควบคุม (control box)
电力铜导体,diàn lì tóng dǎo tǐ,Copper Conductor (for data center cables),ตัวนำทองแดง (copper conductor) - มาตรฐานสำหรับสาย data center
铜箔,tóng bó,Copper Foil,แผ่นฟอยล์ทองแดง (copper foil)
循环寿命,xún huán shòu mìng,Cycle Life,อายุการใช้งานตามรอบชาร์จ (cycle life)
直流汇流,zhí liú huì liú,DC Current Combining / Busbar Combining,การรวมกระแสไฟฟ้ากระแสตรง (DC current combining / busbar)
直流防雷,zhí liú fáng léi,DC Lightning Protection,ระบบป้องกันฟ้าผ่าสำหรับไฟฟ้ากระแสตรง (DC lightning protection)
直流电源柜,zhí liú diàn yuán guì,DC Power Cabinet,ตู้แหล่งจ่ายไฟ DC (DC power cabinet)
直流配电单元,zhí liú pèi diàn dān yuán,DC Power Distribution Unit (DC-PDU),หน่วยจ่ายไฟฟ้ากระแสตรง (DC distribution unit)
放电深度 (DOD),fàng diàn shēn dù,Depth of Discharge (DOD),ระดับความลึกการคายประจุ (DOD)
柴油机,chái yóu jī,Diesel Engine,เครื่องยนต์ดีเซล (diesel engine)
配电变压器,pèi diàn biàn yā qì,Distribution Transformer,หม้อแปลง distribution transformer
抽屉式（直流电源柜）,chōu ti shì,Drawer Type (not a valid Huawei DC power cabinet classification),แบบลิ้นชัก (drawer type) - ไม่ใช่ประเภทมาตรฐานของตู้ DC ของ Huawei
双路电源供电,shuāng lù diàn yuán gōng diàn,Dual Power Supply,การจ่ายไฟแบบสองแหล่ง (dual power supply)
双电源切换开关,shuāng diàn yuán qiē huàn kāi guān,Dual Power Transfer Switch,สวิตช์สลับแหล่งจ่ายไฟสองแหล่ง (dual power transfer switch)
电解液,diàn jiě yè,Electrolyte,สารอิเล็กโทรไลต์ (electrolyte)
电磁式漏电保护器,diàn cí shì lòu diàn bǎo hù qì,Electromagnetic-type RCD,RCD ชนิดแม่เหล็กไฟฟ้า (electromagnetic RCD)
电子式漏电保护器,diàn zǐ shì lòu diàn bǎo hù qì,Electronic-type RCD,RCD ชนิดอิเล็กทรอนิกส์ (electronic RCD)
嵌入式（直流电源柜）,qiàn rù shì,Embedded Type (DC Power Cabinet),แบบฝังตัว (embedded type)
应急照明,yìng jí zhào míng,Emergency Lighting,ไฟฉุกเฉิน (emergency lighting)
应急电源/安全设施电源,yìng jí diàn yuán / ān quán shè shī diàn yuán,Emergency Power Source / Safety Facility Power Source,แหล่งจ่ายไฟฉุกเฉิน (emergency power source)
放电终止 (EOD),fàng diàn zhōng zhǐ,End of Discharge (EOD),จุดสิ้นสุดการคายประจุ (EOD)
放电末期,fàng diàn mò qī,End of Discharge Period,ช่วงปลายของการคายประจุ
能量密度,néng liàng mì dù,Energy Density,ความหนาแน่นพลังงาน (energy density)
五次谐波,wǔ cì xié bō,Fifth Harmonic,ฮาร์มอนิกลำดับที่ 5 (fifth harmonic)
消防泵,xiāo fáng bèng,Fire Pump,ปั๊มดับเพลิง (fire pump)
一级负荷,yī jí fù hè,First-Class Load,โหลดระดับหนึ่ง (first-class load) - หยุดจ่ายไฟแล้วเสียหายรุนแรง
燃油箱,rán yóu xiāng,Fuel Tank,ถังน้ำมันเชื้อเพลิง (fuel tank)
输电、配电、保护、控制、监测,"shū diàn, pèi diàn, bǎo hù, kòng zhì, jiān cè","Functions of Power Distribution: Transmission, Distribution, Protection, Control, Monitoring",หน้าที่ของระบบ power distribution: ส่งไฟ กระจายไฟ ป้องกัน ควบคุม ตรวจสอบ
基波,jī bō,Fundamental Wave,"คลื่นพื้นฐาน (fundamental wave, 50Hz)"
熔断器分断能力,róng duàn qì fēn duàn néng lì,Fuse Breaking Capacity,ความสามารถตัดกระแสของฟิวส์ (fuse breaking capacity)
熔断器式刀开关,róng duàn qì shì dāo kāi guān,Fuse-type Knife Switch,สวิตช์ใบมีดชนิดมีฟิวส์ (fuse-type knife switch)
熔断特性（慢熔/快熔）,róng duàn tè xìng (màn róng / kuài róng),Fusing Characteristic (Slow-blow / Fast-blow),คุณสมบัติการขาดของฟิวส์ (slow-blow / fast-blow)
通信电源设备安装工程设计规范,tōng xìn diàn yuán shè bèi ān zhuāng gōng chéng shè jì guī fàn,GB 51194-2016 Design Code for Telecom Power Installation,มาตรฐานจีน GB 51194-2016 สำหรับติดตั้งระบบไฟฟ้าโทรคมนาคม
发电机/交流发电机,fā diàn jī / jiāo liú fā diàn jī,Generator / Alternator,เครื่องกำเนิดไฟฟ้ากระแสสลับ (alternator)
发电机配电系统,fā diàn jī pèi diàn xì tǒng,Generator Power Distribution System,ระบบจ่ายไฟจาก generator
发电机组,fā diàn jī zǔ,Generator Set,ชุดเครื่องกำเนิดไฟฟ้า (genset)
电网电压等级,diàn wǎng diàn yā děng jí,Grid Supply Voltage Levels,ระดับแรงดันไฟฟ้าจากสายส่ง (grid voltage levels)
接地母排,jiē dì mǔ pái,Grounding Busbar,บัสบาร์กราวด์ (grounding busbar)
接地装置,jiē dì zhuāng zhì,Grounding Device (Electrodes + Leads),อุปกรณ์ระบบกราวด์ (grounding device)
接地极,jiē dì jí,Grounding Electrode,หลักดิน/แท่งกราวด์ (grounding electrode)
接地引下线,jiē dì yǐn xià xiàn,Grounding Lead Wire,สายนำลงกราวด์ (grounding lead wire)
高压配电系统,gāo yā pèi diàn xì tǒng,High-Voltage Distribution System,ระบบจ่ายไฟแรงดันสูง (high-voltage)
华为直流配电单元功能,huá wéi zhí liú pèi diàn dān yuán gōng néng,Huawei DC Power AC Distribution Unit Functions,ฟังก์ชันของหน่วยจ่ายไฟ AC ในระบบไฟ DC ของ Huawei
阻抗,zǔ kàng,Impedance (Z),อิมพีแดนซ์ (impedance)
耐冲击电压额定值 (Uw),nài chōng jī diàn yā é dìng zhí,Impulse Withstand Voltage Rating (Uw),ค่าพิกัดแรงดันทนต่อฟ้าผ่า (Uw)
电感,diàn gǎn,Inductance (L),ความเหนี่ยวนำไฟฟ้า (inductance)
瞬时型漏电保护器,shùn shí xíng lòu diàn bǎo hù qì,Instantaneous-type RCD,RCD ชนิดตัดทันที (instantaneous RCD)
IP防护等级,IP fáng hù děng jí,IP (Ingress Protection) Rating,ระดับการป้องกัน IP rating
铁芯,tiě xīn,Iron Core,แกนเหล็ก (iron core)
隔离开关,gé lí kāi guān,Isolating Switch (Disconnector),สวิตช์ตัดแยก (isolating switch/disconnector)
IT系统,IT xì tǒng,IT System,ระบบกราวด์ IT (IT system)
层状石墨,céng zhuàng shí mò,Layered Graphite,กราไฟต์แบบเป็นชั้น (layered graphite)
硫酸铅 (PbSO4),liú suān qiān,Lead Sulfate (PbSO4),"ตะกั่วซัลเฟต (lead sulfate, PbSO4)"
铅酸蓄电池按电解质分类,qiān suān xù diàn chí àn diàn jiě zhì fēn lèi,Lead-Acid Battery Classification by Electrolyte Type,การจำแนกแบตเตอรี่ตะกั่วกรดตามชนิดอิเล็กโทรไลต์
防雷接地,fáng léi jiē dì,Lightning Protection Grounding,กราวด์ป้องกันฟ้าผ่า (lightning protection grounding)
锂离子电池隔膜,lǐ lí zǐ diàn chí gé mó,Lithium-ion Battery Separator,แผ่นกั้น (separator) แบตเตอรี่ลิเธียมไอออน
负载低电压下电,fù zài dī diàn yā xià diàn,Load Low-Voltage Disconnect (LVD),"การตัดโหลดอัตโนมัติเมื่อแรงดันต่ำ (Low-Voltage Disconnect, LVD)"
低压电器,dī yā diàn qì,Low-Voltage Apparatus,อุปกรณ์ไฟฟ้าแรงดันต่ำ (low-voltage apparatus)
低压配电柜,dī yā pèi diàn guì,Low-Voltage Distribution Cabinet,ตู้จ่ายไฟแรงดันต่ำ (low-voltage distribution cabinet)
磁脱扣,cí tuō kòu,Magnetic Trigger (Trip),การตัดวงจรด้วยแม่เหล็ก (magnetic trip)
市电逆变模式,shì diàn nì biàn mó shì,Mains Inverter Mode,โหมด mains inverter ของ UPS (ใช้ไฟจากการไฟฟ้าผ่านตัวแปลงไฟ)
最大放电电流 (Imax),zuì dà fàng diàn diàn liú,Maximum Discharge Current (Imax),กระแสคายประจุสูงสุด (Imax)
脱扣特性 B/C/D/Z/K,tuō kòu tè xìng,MCB Trip Curve Characteristics (B/C/D/Z/K),เส้นโค้งการตัดวงจร B/C/D/Z/K (trip curve)
断路器脱扣特性等级,duàn lù qì tuō kòu tè xìng děng jí,MCB Trip Curve Class (B/C/D/Z),เกรดคุณสมบัติการตัดวงจรของ MCB (B/C/D/Z)
